Title,Price,Category,Rating,Number of Reviews
"vivo T4x 5G (Glacial Teal, 256 GB)","₹16,499",mobiles 5g,4.4,"1,18,524 Ratings & 5,772 Reviews"
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹8,999",mobiles 5g,4.2,"93,278 Ratings & 6,141 Reviews"
"Ai+ Nova 5G (Green, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"OPPO K13 Turbo 5G (White Knight, 256 GB)","₹24,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"POCO M7 Pro 5G (Lavender Frost, 256 GB)","₹13,499",mobiles 5g,4.2,"9,687 Ratings & 873 Reviews"
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹12,999",mobiles 5g,4.3,"9,173 Ratings & 375 Reviews"
"realme P3 Ultra 5G (Neptune Blue, 256 GB)","₹19,999",mobiles 5g,4.4,"11,251 Ratings & 1,158 Reviews"
"Samsung Galaxy S24 FE 5G (Graphite, 128 GB)","₹30,999",mobiles 5g,4.5,"52,334 Ratings & 3,312 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹19,999",mobiles 5g,4.5,"86,762 Ratings & 4,464 Reviews"
"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999",mobiles 5g,4.3,"2,33,615 Ratings & 11,670 Reviews"
"realme 15x 5G (Marine Blue, 128 GB)","₹17,999",mobiles 5g,4.4,303 Ratings & 16 Reviews
"POCO C75 5G (Aqua Bliss, 128 GB)","₹8,099",mobiles 5g,4.2,"1,18,366 Ratings & 5,394 Reviews"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹12,999",mobiles 5g,4.5,"53,992 Ratings & 4,705 Reviews"
"Ai+ Nova 5G (Pink, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"POCO M7 5G (Ocean Blue, 128 GB)","₹8,499",mobiles 5g,4.1,"44,433 Ratings & 2,094 Reviews"
"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹11,499",mobiles 5g,4.3,"25,224 Ratings & 1,936 Reviews"
"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹16,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹25,999",mobiles 5g,4.3,"31,115 Ratings & 2,359 Reviews"
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹13,499",mobiles 5g,4.2,"9,687 Ratings & 873 Reviews"
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)","₹15,999",mobiles 5g,4.4,"44,240 Ratings & 2,193 Reviews"
"realme 15x 5G (Marine Blue, 128 GB)","₹16,999",mobiles 5g,4.3,476 Ratings & 33 Reviews
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹7,999",mobiles 5g,4.1,"29,113 Ratings & 1,758 Reviews"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,999",mobiles 5g,4.5,"53,992 Ratings & 4,705 Reviews"
"vivo T4R 5G (Twilight Blue, 256 GB)","₹21,499",mobiles 5g,4.5,"31,068 Ratings & 1,380 Reviews"
"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹18,999",mobiles 5g,4.4,"2,621 Ratings & 207 Reviews"
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹29,999",mobiles 5g,4.3,"10,271 Ratings & 889 Reviews"
"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)","₹33,999",mobiles 5g,4.3,"1,277 Ratings & 98 Reviews"
"realme 15x 5G (Marine Blue, 256 GB)","₹19,999",mobiles 5g,4.4,303 Ratings & 16 Reviews
"realme P3 Pro 5G (Saturn Brown, 128 GB)","₹15,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"vivo T4R 5G (Arctic White, 128 GB)","₹19,499",mobiles 5g,4.5,"31,068 Ratings & 1,380 Reviews"
"realme P3x 5G (Lunar Silver, 128 GB)","₹11,249",mobiles 5g,4.4,"14,681 Ratings & 588 Reviews"
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)","₹17,999",mobiles 5g,4.4,"44,240 Ratings & 2,193 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)","₹11,999",mobiles 5g,4.3,"2,33,615 Ratings & 11,670 Reviews"
"vivo T4x 5G (Marine Blue, 256 GB)","₹16,499",mobiles 5g,4.4,"1,18,524 Ratings & 5,772 Reviews"
"vivo T4 Pro 5G (Blaze Gold, 256 GB)","₹29,999",mobiles 5g,4.5,"6,186 Ratings & 396 Reviews"
"OPPO K13 Turbo 5G (Purple Phantom, 128 GB)","₹22,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹16,468",mobiles 5g,4.4,"32,471 Ratings & 1,515 Reviews"
"realme P3 Pro 5G (Galaxy Purple, 128 GB)","₹15,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"Ai+ Nova 5G (Blue, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"POCO X7 5G (Yellow, 128 GB)","₹14,999",mobiles 5g,4.3,"20,649 Ratings & 1,636 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹21,999",mobiles 5g,4.5,"34,954 Ratings & 1,828 Reviews"
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)","₹9,787",mobiles 5g,4.3,145 Ratings & 11 Reviews
"MOTOROLA G86 Power 5G (Pantone Cosmic Sky, 128 GB)","₹15,999",mobiles 5g,4.3,"14,449 Ratings & 945 Reviews"
"realme 15 5G (Velvet Green, 128 GB)","₹25,999",mobiles 5g,4.4,"5,922 Ratings & 489 Reviews"
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹11,999",mobiles 5g,4.3,"2,370 Ratings & 129 Reviews"
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹15,999",mobiles 5g,4.4,"44,240 Ratings & 2,193 Reviews"
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹11,999",mobiles 5g,4.3,62 Ratings & 7 Reviews
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹15,999",mobiles 5g,4.3,"14,449 Ratings & 945 Reviews"
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,499",mobiles 5g,4.4,"2,452 Ratings & 99 Reviews"
"REDMI Note 14 SE 5G (Titan Black, 128 GB)","₹12,999",mobiles 5g,4.3,"9,173 Ratings & 375 Reviews"
"Motorola g45 5G (Viva Magenta, 128 GB)","₹11,999",mobiles 5g,4.3,"2,33,615 Ratings & 11,670 Reviews"
"OPPO K13 Turbo 5G (Midnight Maverick, 256 GB)","₹24,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"realme P4 5G (Forge Red, 128 GB)","₹15,999",mobiles 5g,4.4,"9,835 Ratings & 661 Reviews"
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹10,499",mobiles 5g,4.4,"2,452 Ratings & 99 Reviews"
"vivo T4R 5G (Arctic White, 256 GB)","₹21,499",mobiles 5g,4.5,"31,068 Ratings & 1,380 Reviews"
"REDMI Note 14 SE 5G (Mystique White, 128 GB)","₹12,999",mobiles 5g,4.3,"9,173 Ratings & 375 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹12,999",mobiles 5g,4.3,"9,173 Ratings & 375 Reviews"
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹30,999",mobiles 5g,4.5,"52,334 Ratings & 3,312 Reviews"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹8,999",mobiles 5g,4.2,"13,714 Ratings & 862 Reviews"
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","₹1,29,900",mobiles 5g,4.7,"12,924 Ratings & 664 Reviews"
"vivo T4R 5G (Arctic White, 256 GB)","₹23,499",mobiles 5g,4.5,"2,683 Ratings & 141 Reviews"
"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹14,999",mobiles 5g,4.4,"5,099 Ratings & 341 Reviews"
"vivo T4R 5G (Twilight Blue, 256 GB)","₹21,499",mobiles 5g,4.5,"31,068 Ratings & 1,380 Reviews"
"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",mobiles 5g,4.5,"31,068 Ratings & 1,380 Reviews"
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹15,999",mobiles 5g,4.3,"14,449 Ratings & 945 Reviews"
"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹18,999",mobiles 5g,4.4,"2,621 Ratings & 207 Reviews"
"realme P3 Pro 5G (Galaxy Purple, 128 GB)","₹15,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"realme P3 Pro 5G (Saturn Brown, 128 GB)","₹15,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"realme P3 Pro 5G (Saturn Brown, 256 GB)","₹16,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"OPPO K13 Turbo 5G (White Knight, 256 GB)","₹24,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"OPPO K13 Turbo 5G (Purple Phantom, 128 GB)","₹22,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"OPPO K13 Turbo 5G (Purple Phantom, 256 GB)","₹24,999",mobiles 5g,4.5,"3,754 Ratings & 197 Reviews"
"vivo T4R 5G (Twilight Blue, 256 GB)","₹23,499",mobiles 5g,4.5,"2,683 Ratings & 141 Reviews"
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹10,587",mobiles 5g,4.2,"13,809 Ratings & 827 Reviews"
"Samsung Galaxy F36 5G (Black, 128 GB)","₹13,999",mobiles 5g,4.3,"5,057 Ratings & 278 Reviews"
"Nothing Phone (3a) (Blue, 256 GB)","₹25,999",mobiles 5g,4.5,"44,261 Ratings & 3,267 Reviews"
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)","₹17,999",mobiles 5g,4.4,"44,240 Ratings & 2,193 Reviews"
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)","₹17,999",mobiles 5g,4.4,"44,240 Ratings & 2,193 Reviews"
"vivo T4x 5G (Glacial Teal, 128 GB)","₹13,499",mobiles 5g,4.4,"1,57,603 Ratings & 7,149 Reviews"
"POCO M7 5G (Satin Black, 128 GB)","₹9,499",mobiles 5g,4.2,"9,687 Ratings & 481 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
